customer_id,product_category,purchase_amount,timestamp,date,purchase_diff,month_year,year,matched_product,price_variation
C001,Electronics,995.74,2023-01-07 14:12:40,2023-01-07,,2023-01,2023,ASURION 2 Year Electronics Protection Plan ($30 - $39.99),991.75
C001,Beauty,585.25,2023-01-17 06:35:21,2023-01-17,9.0,2023-01,2023,"Beauty of Joseon Ground Rice and Honey Glow Mask Pore Sebum Care for Dry Sensitive Skin Korean Skin Care 150ml, 5.07 fl.oz",569.25
C001,Clothing,804.73,2023-01-23 19:59:46,2023-01-23,6.0,2023-01,2023,Track Pants Women Baggy Pants Y2k Pants Parachute Pants for Women Y2K Clothing,780.74
C001,Beauty,772.1,2023-02-12 22:40:59,2023-02-12,20.0,2023-02,2023,"Beauty of Joseon Ground Rice and Honey Glow Mask Pore Sebum Care for Dry Sensitive Skin Korean Skin Care 150ml, 5.07 fl.oz",756.1
C001,Books,360.92,2023-08-11 20:45:28,2023-08-11,179.0,2023-08,2023,Medicube Age-R Booster H - Korean No.1 Skin Care Device - Facial Glow Booster for Maximizing and Boosting Skin Care Absorption - Needle Free,229.93
C001,Toys,976.06,2023-11-13 18:02:43,2023-11-13,93.0,2023-11,2023,"Dancing Talking Cactus Baby Toys Boy Girl Gifts, Singing Mimicking Recording Toys Repeats What You Say, Comes with 120 English Songs Singing Talking Musical Toys",952.0699999999999
C001,Toys,619.35,2023-12-08 04:43:45,2023-12-08,24.0,2023-12,2023,"Dancing Talking Cactus Baby Toys Boy Girl Gifts, Singing Mimicking Recording Toys Repeats What You Say, Comes with 120 English Songs Singing Talking Musical Toys",595.36
C001,Beauty,133.68,2024-04-28 10:00:56,2024-04-28,142.0,2024-04,2024,"Beauty of Joseon Ground Rice and Honey Glow Mask Pore Sebum Care for Dry Sensitive Skin Korean Skin Care 150ml, 5.07 fl.oz",117.68
C001,Sports,371.03,2024-08-07 16:38:58,2024-08-07,101.0,2024-08,2024,Franklin Sports Spin N Putt Golf Game,323.34999999999997
C001,Beauty,117.72,2024-08-19 13:01:50,2024-08-19,11.0,2024-08,2024,"Beauty of Joseon Ground Rice and Honey Glow Mask Pore Sebum Care for Dry Sensitive Skin Korean Skin Care 150ml, 5.07 fl.oz",101.72
C001,Clothing,762.08,2024-11-25 12:03:57,2024-11-25,97.0,2024-11,2024,Track Pants Women Baggy Pants Y2k Pants Parachute Pants for Women Y2K Clothing,738.09
C001,Toys,427.2,2024-11-30 14:52:02,2024-11-30,5.0,2024-11,2024,"Dancing Talking Cactus Baby Toys Boy Girl Gifts, Singing Mimicking Recording Toys Repeats What You Say, Comes with 120 English Songs Singing Talking Musical Toys",403.21
C002,Beauty,850.86,2023-05-08 13:46:35,2023-05-08,,2023-05,2023,"Beauty of Joseon Ground Rice and Honey Glow Mask Pore Sebum Care for Dry Sensitive Skin Korean Skin Care 150ml, 5.07 fl.oz",834.86
C002,Books,859.69,2023-07-24 23:06:43,2023-07-24,77.0,2023-07,2023,Medicube Age-R Booster H - Korean No.1 Skin Care Device - Facial Glow Booster for Maximizing and Boosting Skin Care Absorption - Needle Free,728.7
C002,Clothing,562.8,2024-11-11 22:23:26,2024-11-11,475.0,2024-11,2024,Track Pants Women Baggy Pants Y2k Pants Parachute Pants for Women Y2K Clothing,538.81
C002,Sports,87.0,2024-11-26 21:46:27,2024-11-26,14.0,2024-11,2024,Franklin Sports Spin N Putt Golf Game,39.32
C003,Home Appliances,83.89,2023-01-19 15:32:52,2023-01-19,,2023-01,2023,"McCulloch MC1385 Deluxe Canister Steam Cleaner with 23 Accessories, Chemical-Free Pressurized Cleaning for Most Floors, Counters, Appliances, Windows, Autos, and More, 1-(Pack), Black",-108.55999999999999
C003,Toys,878.12,2023-05-01 20:33:14,2023-05-01,102.0,2023-05,2023,"Dancing Talking Cactus Baby Toys Boy Girl Gifts, Singing Mimicking Recording Toys Repeats What You Say, Comes with 120 English Songs Singing Talking Musical Toys",854.13
