product_name,price,ratings,last_month_purchases,incomplete_data
N/A,119.0,4.3,10000,False
N/A,299.0,4.4,0,False
N/A,44.99,4.4,10000,False
N/A,134.99,4.3,10000,False
N/A,26.99,4.4,10000,False
N/A,74.99,4.5,10000,False
N/A,24.0,4.6,10000,False
N/A,44.99,4.6,10000,False
N/A,149.0,4.5,10000,False
N/A,22.49,4.3,10000,False
N/A,19.99,4.6,10000,False
N/A,59.99,4.5,10000,False
N/A,139.95,4.7,10000,False
N/A,24.99,4.7,10000,False
N/A,39.99,4.3,30000,False
N/A,299.0,4.8,0,False
"Madden NFL 15: 12,000 Points - Xbox One Digital Code",99.99,1.0,0,False
Battlfield V Definitive - Steam PC [Online Game Code],49.99,4.1,0,False
"My Arcade Tetris Gamer V: Puzzle Games, Officially Licensed Portable Handheld Game with 201 Games, 2.5"" Full Color Screen, Pocket Size",24.99,4.4,1000,False
CRC 05103 QD Electronic Cleaner -11 Wt Oz,10.87,4.7,4000,False
ASURION 2 Year Electronics Protection Plan ($30 - $39.99),3.99,4.3,0,False
ASURION 2 Year Portable Electronic Accident Protection Plan ($50 - $59.99),5.99,4.4,0,False
ASURION 2 Year Portable Electronic Accident Protection Plan ($175 - $199.99),21.99,4.5,0,False
Practical Electronics: A Complete Introduction: Teach Yourself,3.99,4.4,0,False
ASURION 2 Year Portable Electronic Accident Protection Plan ($70 - $79.99),7.99,4.5,0,False
ASURION 2 Year Portable Electronic Accident Protection Plan ($40 - $49.99),4.99,4.4,0,False
"cozoo RGB Headphone Stand with Charger 3 USB Ports and 2 AC Outlets,2 USB-A 1 Type C,Desk Gaming Headset Holder with 9 Light Modes,PC Gaming Desk Accessories,Gamer Gifts,RGB Gaming Stuff Headset Stand",29.99,4.5,500000000,False
Electronics Engineering,0.99,4.1,0,False
ASURION 2 Year Electronics Protection Plan ($50 - $59.99),5.99,4.3,0,False
Amazon.com eGift Card (Instant Email or Text Delivery),5.0,4.8,0,False
"Encyclopedia of Electronic Components Volume 1: Resistors, Capacitors, Inductors, Switches, Encoders, Relays, Transistors",14.59,4.7,0,False
Franklin Sports Spin N Putt Golf Game,47.68,4.3,400000000,False
"Gifts for Couples Girlfriend Boyfriend Wife Husband Funny White Elephant Gifts Valentines Day Universal Travel Adapter with 2 USB-C，2 USB-A,Stocking Stuffers for Mom Men Teen Adults",23.99,4.4,0,False
ASURION 2 Year Electronics Protection Plan ($125 - $149.99),16.99,4.3,0,False
ASURION 3 Year Portable Electronic Accident Protection Plan ($40 - $49.99),6.99,4.5,0,False
Understanding Modern Electronics,2.99,No Rating,0,False
ASURION 3 Year Electronics Protection Plan ($30 - $39.99),5.99,4.5,0,False
ASURION 2 Year Electronics Protection Plan ($100 - $124.99),15.99,4.3,0,False
EA Sports PGA Tour : Deluxe - Steam PC [Online Game Code],84.99,3.4,0,False
Electronic 2013,27.25,4.6,0,False
Incase Nylon Accessory + Electronics Organizer Bag - Small Travel Pouch for Cords + Camera Accessories - Compact Tech Bag with Faux-Fur Padded Compartment,49.99,4.5,500000000,False
Get The Message - The Best Of Electronic,9.1,4.6,50000000,False
ASURION 2 Year Electronics Protection Plan ($70 - $79.99),7.99,4.4,0,False
"Lanola Electronic Organizer,Travel Cable Organizer Bag Pouch Electronic Accessories Carry Case Portable Double Layers Storage Bag for Cable,Cord,Charger,Phone,Earphone,Power Bank,Memory Cards - Black",18.99,4.6,100000000,False
Make: Analog Synthesizers: Make Electronic Sounds the Synth-DIY Way,17.66,4.6,0,False
"Music Theory for Electronic Music Producers: The producer's guide to harmony, chord progressions, and song structure in the MIDI grid.",23.99,4.6,0,False
"My Arcade Go Gamer Classic-RED: Portable Electronic Game Console with 300 Games, Full Color 2.5"" Screen-Fun for The Whole Family (DGUN-3909)",27.55,3.9,50000000,False
Electronics Repair Master,0.0,2.6,0,False
iJoy Electronic Wipes,6.84,4.5,50000000,False
"Wedama Toiletry Bag for Men, PU Leather Travel Toiletry Bag with Electronic Organizer Bag Hanging Travel Shaving Bag for Toiletries, Waterproof Dopp Kit for Travel Business Trips Swim Camping, Black",24.99,4.4,50000000,False
Live Wires: A History of Electronic Music,14.0,4.4,0,False
Electronics,0.0,3.2,0,False
"Wedama Toiletry Bag for Men, Large Hanging Travel Toiletry Bag, Extra Electronic Organizer Bag Waterproof Travel Bag for Toiletries, PU Handle Travel Bag for Travel Trips Swim Camping, Black",26.99,4.6,200000000,False
Super Mario Party Jamboree for Nintendo Switch,52.98,4.8,30000,False
The Last Goodbye Tour Live ('GHOSTLY' CLEAR VINYL),39.99,4.9,50000000,False
"Genuine Leather Electronic Cable Organizer Bag Handmade Travel Cord Organizer Roll Case for Hard Drives, Cables, Charger, Phone, USB, SD Card (Large - Brown)",39.99,4.4,50000000,False
Battlefield 1 Revolution - Steam PC [Online Game Code],39.99,4.1,0,False
Battlefield 2042 - Steam PC [Online Game Code],59.99,3.8,0,False
The Electronic Doppelgänger: The Mystery of the Double in the Age of the Internet,19.5,4.6,0,False
Electronic Drum Pad - Real Drum Pad,0.0,2.9,0,False
